Velocity,Angle,Gravity,AirResistance,Range
84.24442115222176,27.431237897437658,9.521246085238928,0.08057843878352279,562.3756208153349
33.49938108545324,19.255730222674202,10.298636326599588,0.042422413159681926,65.03224969025212
84.01121816808288,64.44453032967053,10.460262382741329,0.060829429908960675,494.19267033382204
95.4193622702482,13.03257485031965,9.625474885679749,0.014373276943349757,409.6958980352409
27.634278070896524,54.648544301798815,10.28059582269757,0.04316979386437192,67.14562126296336
98.86966173833167,49.79031880540703,10.492583909508436,0.01740423933182942,902.7864826676141
77.73942341111477,19.023059793721178,9.84992633775204,0.05009426984499378,359.65245819207126
47.67736662808255,73.05449192632187,10.363240809101976,0.004299162883152852,121.7856847816783
81.09369248016178,18.03934062105988,9.813118523384137,0.08539090448773845,362.3436672167891
62.988286168345816,61.22448878152549,10.224316854454186,0.08699380014829368,300.17857323333027
69.72967657971523,43.7191705535914,9.981123586984102,0.02096527525695049,476.55887154616664
70.05102621709611,45.127131241664785,9.913278999823817,0.08344474707774925,455.3735538712392
85.98367833850574,21.67794460020412,9.607549565283225,0.07743705188543969,488.9305050141168
96.81197929619543,23.96806442069279,9.772783798070781,0.007255851726420981,706.8475925789422
15.033233850777771,33.14102249892883,10.364737030284033,0.06101966059053229,18.78113099496985
84.50827573890682,73.36105998448429,9.952354851515247,0.06849433754333066,367.6723369516678
31.502925112931088,59.43475324059949,9.834055991616998,0.041899785749890485,84.74972681464946
96.40014503191675,12.926616827294568,9.994493276106711,0.031067612865552333,393.0571690676428
44.404768469457004,34.24574835066913,10.305466853899288,0.07314827471133412,165.45357843594218
29.692591740804296,48.21960834610133,10.268445729335506,0.08937011455305724,78.02433595759778
18.036231851698208,39.7994311300197,9.7575340626951,0.018197777220048828,32.19976402129862
43.59472590147007,68.09928571466101,10.393429304946277,0.03709434775918661,121.95690586548363
85.2871878854644,34.648566589375356,9.510621553005194,0.07558357552942273,663.350034233882
92.67112999143146,71.14217231940853,9.814402328754902,0.017060497712628842,526.2413098413409
55.00925507755175,53.361822038723275,9.509591739318743,0.004900169338137961,303.2583464643367
96.07049772979157,70.06466972601837,9.90562954263274,0.09086032295901857,545.4240825263449
50.88211459757813,61.52420093331852,9.74310608778414,0.0402843827583137,213.93927234837454
46.29358233182031,11.506728239124966,9.699770004261566,0.03347391701307524,83.53352920614752
78.45326468319146,22.581908826531897,10.243061158719904,0.09621198865904279,387.01795577248254
56.164103986307836,65.72001011771113,10.049717799278667,0.0651633685023507,220.45586650826863
41.941203787745835,58.562681685732215,9.543015022100091,0.050731382874636625,155.94060644004009
42.115969279034715,56.217271842595636,9.755010294660826,0.0346765157990811,162.34038631140868
18.604342561887925,25.623526724633752,9.782202611752005,0.030906633968880427,26.753571940476412
82.0707624353379,76.41173038444235,10.375316253860857,0.0665765965868805,277.41171843330125
20.19150286700159,25.80487491702152,10.111236417495215,0.0766093204819924,29.272971166709567
75.72350951067078,48.69012737794808,10.387064818201393,0.05400861423494541,518.6806887176085
47.276138031350804,58.396719873481004,9.700083105385174,0.04487071803296924,196.6511637360302
60.56137182981147,75.58678417410984,10.442439313506924,0.03640665102979427,163.29297810171076
23.720094710282602,54.25121614460199,10.076847012017797,0.08250046346911868,48.75611480961683
27.78197813021874,77.21083315968083,9.972439538028361,0.04115626430222326,32.06845123646371
95.72449316757535,20.74668109084295,9.676202097292293,0.0129958946831781,619.3054059909485
98.92558303771676,42.965289399213816,9.839197583988664,0.07128137229210818,923.855656770791
86.24825602923467,73.96876144992626,9.523849746699012,2.5138116853540284e-05,414.61389156310577
24.339471549966305,63.29946300190737,10.462966175874728,0.009304034023686647,45.03494540432331
52.8309667781706,28.421922457816464,10.02146383735649,0.044871210350059254,222.93542186434644
85.24286947271844,56.51872429005897,9.697022996122518,0.029742125782889664,669.3701453490794
51.80399119382727,77.58585771584856,9.960695217296651,0.09052735206976004,103.33972576490575
33.09904020705304,30.944391002206796,9.62241817564694,0.09193021676201295,91.60252065472919
64.09441737900798,46.58545389146317,9.542964110643373,0.040290280467413245,412.8514819202546
91.01914729749926,66.42531283182663,10.037631779201687,0.00928554931144857,599.4902719902266
74.62732212581695,74.63263035672502,10.026468645908452,0.04169204991591281,272.2804871464226
53.26577423703902,72.61001168148971,10.415934456967776,0.09490253420558502,141.31307397818134
36.869605482024,41.214681053177195,10.37003463563795,0.012012603256740074,128.39186488930986
93.6536638719748,62.00488208017528,10.466688058679615,0.08762130748306429,636.3720496043554
